DD,2025nytr,qm,1,b2,6621
eg,2025nytr,qm,1,b3,3950
ap,2025nytr,qm,1,r3,3044
JP,2025nytr,qm,1,r2,7605
J,2025nytr,qm,1,r1,639
ML,2025nytr,qm,1,b1,358
eg,2025nytr,qm,2,b3,9468
JP,2025nytr,qm,2,r2,4458
J,2025nytr,qm,2,r1,3173
AL,2025nytr,qm,2,r3,6401
DD,2025nytr,qm,2,b2,1796
ML,2025nytr,qm,2,b1,1468
AL,2025nytr,qm,3,r3,3171
eg,2025nytr,qm,3,b3,7718
DD,2025nytr,qm,3,b2,191
ML,2025nytr,qm,3,b1,7031
JP,2025nytr,qm,3,r2,3117
J,2025nytr,qm,3,r1,6463
eg,2025nytr,qm,4,b3,810
ap,2025nytr,qm,4,r3,20
DD,2025nytr,qm,4,b2,10714
J,2025nytr,qm,4,r1,2053
JP,2025nytr,qm,4,r2,250
ML,2025nytr,qm,4,b1,229
JP,2025nytr,qm,5,r2,870
eg,2025nytr,qm,5,b3,7759
DD,2025nytr,qm,5,b2,8067
ML,2025nytr,qm,5,b1,7504
J,2025nytr,qm,5,r1,6300
ap,2025nytr,qm,5,r3,1126
arin,2025nytr,qm,6,b3,9624
DD,2025nytr,qm,6,b1,6648
df,2025nytr,qm,6,b2,1518
Ak,2025nytr,qm,6,r2,1880
J,2025nytr,qm,6,r1,1591
ap,2025nytr,qm,6,r3,5149
a,2025nytr,qm,7,b3,7030
df,2025nytr,qm,7,b2,6806
Ak,2025nytr,qm,7,r2,2791
Jp,2025nytr,qm,7,b1,4571
ap,2025nytr,qm,7,r3,3181
J,2025nytr,qm,7,r1,5881
Jp,2025nytr,qm,8,b1,3360
df,2025nytr,qm,8,b2,3003
ap,2025nytr,qm,8,r3,10352
Ak,2025nytr,qm,8,r2,1493
J,2025nytr,qm,8,r1,2875
a,2025nytr,qm,8,b3,334
Jp,2025nytr,qm,9,b1,2601
df,2025nytr,qm,9,b2,578
arin,2025nytr,qm,9,b3,6911
ap,2025nytr,qm,9,r3,5528
Ak,2025nytr,qm,9,r2,2869
J,2025nytr,qm,9,r1,4122
arin,2025nytr,qm,10,b3,639
df,2025nytr,qm,10,b2,7718
Jp,2025nytr,qm,10,b1,424
ap,2025nytr,qm,10,r3,2053
Ak,2025nytr,qm,10,r2,3550
J,2025nytr,qm,10,r1,1468
CW,2025nytr,qm,11,r3,6401
DD,2025nytr,qm,11,b2,20
Ak,2025nytr,qm,11,r2,8067
J,2025nytr,qm,11,r1,191
Jl ,2025nytr,qm,11,b1,7605
ML,2025nytr,qm,11,b3,3950
Ak,2025nytr,qm,12,r2,5149
CW,2025nytr,qm,12,r3,6648
J,2025nytr,qm,12,r1,3173
DD,2025nytr,qm,12,b2,6463
ML,2025nytr,qm,12,b3,10714
DD,2025nytr,qm,12,b1,870
DD,2025nytr,qm,13,b1,4458
